url,title,text,topic,tags,author
https://lenta.ru/news/2023/10/23/polovina-rossiyan-stala-zarabatyvat-bolshe/,Половина россиян стала зарабатывать больше,"Фото: Юрий Смитюк / ТАСС  Половина опрошенных россиян стала в 2023 году зарабатывать больше, 36 процентов сотрудников заявили, что их доход не изменился, а у 14 процентов он снизился, следует из результатов исследования, в ходе которого рекрутинговая компания Get experts опросила работодателей и специалистов в связи с мотивационными программами в компаниях. Самой необязательной опцией социального пакета респонденты сочли детские новогодние подарки и билеты на елки (36 процентов ответов). Результаты поступили в распоряжение «Ленты.ру». Свои оценки высказали более двух тысяч участников, 55 процентов из которых представляют российские компании, еще 45 — иностранные. Важность соцпакета гораздо чаще отмечали участвовавшие в опросе женщины, нежели их коллеги-мужчины (57 и 36 процентов соответственно). О полной удовлетворенности имеющимися в их компаниях программами мотивации заявили 15 процентов сотрудников, около половины (52 процента) в целом ими удовлетворены, а треть — не удовлетворены совсем. Наиболее значимыми опциями в социальном пакете сотрудники чаще называли пункты, связанные с собственным здоровьем, в том числе медстраховку (63 процента) и доплату по больничным листам до оклада или среднего заработка (46 процентов). Среди пунктов соцпакета, от которых работники готовы отказаться, помимо уже названых подарков для детей оказались скидки на продукты и услуги компании (21 процент), оплата путевок в санатории и дома отдыха (20 процентов), а также расширенная медицинская страховка для выезда за границу и негосударственное пенсионное страхование (по 19 процентов). Ранее каждый четвертый опрошенный россиянин пожаловался на то, что работодатели сократили им бонусы и соцпакет в 2022 году. 23 процента обратили внимание на сокращение пакета ДМС, а 15 процентов вовсе лишились этой опции. Чаще всего на урезание мотивации сетовали сотрудники транспортной (80 процентов) и медицинской (60 процентов) сфер.",,Экономика,Дмитрий Воронин
https://lenta.ru/news/2023/10/22/v-ssha-na-stadione-pokazali-na-ekrane-foto-gitlera/,В США на стадионе показали на экране фото Гитлера,"Фото: Bulkin Sergey / news.ru / Global Look Press На стадионе в США показали на экране фотографию Адольфа Гитлера. Об этом сообщает CNN. Инцидент произошел перед матчем по американскому футболу между «Мичиган Стэйт Спартанс» и «Мичиган Вулверинс» в рамках Национальной ассоциации студенческого спорта (NCAA). Зрителям предложили принять участие в викторине, где нужно было отгадать, в какой стране родился человек на экране. «Мы глубоко сожалеем о том, что он был показан, поскольку он не отражает наши ценности», — заявил спортивный директор команды «Мичиган Стэйт» Мэтт Ларсон. Отмечалось, что в университете будут тщательнее проверять подготовленные к показу материалы. В учебном заведении также сообщили, что ранее неоднократно использовали видео с YouTube-канала The Quiz Channel. При этом создатель канала Флорис ван Палландт заявил, что его контент использовали несанкционированно и без его ведома. Матч завершился со счетом 49:0 в пользу «Мичиган Вулверинс».",,Спорт,Дарья Коршунова
https://lenta.ru/news/2023/10/23/dna/,Разработан новый нанодвигатель на основе ДНК,"Фото: Unsplash Международная группа ученых разработала новый тип нанодвигателя из ДНК, который приводится в движение умным механизмом на основе РНК-полимеразы и совершает пульсирующие движения. Результаты исследования опубликованы в журнале Nature Nanotechnology. Специалисты использовали инструмент компьютерного моделирования oxDNA, чтобы спроектировать нанодвигатель с листовой рессорой. Структура состоит из почти 14 тысяч нуклеотидов, которые образуют основные ДНК-компоненты, и по форме напоминает кистевой эспандер: две ручки, образующие V-образную конструкцию, соединены пружиной. Размер нанодвигателя составляет 70 на 70 на 12 нанометров. Она приводится в движение благодаря химической энергии нуклеозидтрифосфатов, имеющих три фосфатные группы. Специальный фермент, называемый РНК-полимеразой, был прикреплен к одной из ручек двигателя, а в непосредственной близости нее была натянута цепь ДНК между двумя ручками. Полимераза захватывает цепь ДНК, чтобы транскрибировать ее, то есть использовать в качестве шаблона для синтеза РНК-молекул (транскриптов). Нетранскрибируемый участок становится меньше, что притягивает одну ручку к другой. Когда РНК-полимераза достигает особой последовательности, называемой терминальной, то фермент отпускает ДНК, и структура принимает изначальное положение, после чего цикл повторяется. Ученые также планируют создать такой тип сцепления, который позволит использовать мощность двигателя только в определенное время. В долгосрочной перспективе двигатель может стать сердцем сложной наномашины.",,Наука и техника,Александр Еникеев
https://lenta.ru/news/2023/10/22/sud-v-irake-zaochno-prigovoril-doch-huseyna-k-7-godam-tyurmy/,Суд в Ираке заочно приговорил дочь Хусейна к семи годам тюрьмы,"Фото: Khaled Abdullah / Reuters Суд в Багдаде заочно приговорил дочь бывшего президента Ирака Саддама Хусейна Рагад (Raghad Hussein) к семи годам тюрьмы за пропаганду правящей партии «Баас». Об этом сообщает индийская газета The Hindustan Times (HT). Отмечается, что поводом стали слова Рагад во время телеинтервью, которое она дала в 2021 году. О каких именно высказываниях идет речь, не уточняется. Однако газета напомнила, что в 2021 она дала интервью телеканалу Al-Arabiya. «Многие люди говорили мне, что наш период действительно был временем славы, гордости. Конечно, страна была стабильной и богатой», — заявила Рагад. При этом большинство иракцев четверть века, в течение которых правил Саддам Хусейн, по-прежнему воспринимают как время жестоких репрессий, подчеркивает издание. По данным HT, что Рагад по-прежнему живет в Иордании вместе со своей сестрой Раной. В 2006 году Рагад и ее мать Саджида Талфа (Sajida Talfah) были объявлены в розыск по обвинению в пособничестве терроризму и оказании материальной помощи сепаратистам. Тогда же к розыску Рагад Хусейн подключился Интерпол. Рагад Хусейн покинула Ирак в 2003 году, когда в страну вошли войска коалиции. В 2006 году она принимала участие в организации судебной защиты своего отца, которого впоследствии признали виновным в преступлениях против человечности и казнили.",,Мир,Марина Совина
https://lenta.ru/news/2023/10/23/v-izraile-reshili-likvidirovat-okazavsheesya-bespoleznym-ministerstvo/,В Израиле решили ликвидировать оказавшееся бесполезным министерство,"Фото: Janis Laizans / Reuters В Израиле решили распустить министерство общественной дипломатии (Министерство информации) из-за бесполезности. Об этом сообщает газета The Times of Israel (ToI). Поясняется, что ведомство с момента атаки движения ХАМАС на Израиль не сумело выдать ни одного значимого пояснения по теме. Из-за этого министр Галит Дистель Атбарян уже покинула свой пост. Неиспользованный бюджет министерства на 2023 год (9,4 миллиона шекелей) и на 2024-й (14,4 миллиона шекелей) будет передан на восстановление пострадавшего от атаки населенного пункта Текума рядом с Сектором Газа. 29 сотрудников ликвидируемого ведомства также будут направлены на восстановление разрушенных городов. Окончательную судьбу министерства решит кабинет министров Израиля посредством телефонного голосования. Однако, по информации издания, соответствующее решение уже принято. Утром 7 октября ХАМАС атаковало Израиль. Кроме того, из сектора Газа в приграничные районы Израиля проникло неопределенное число террористов. Тель-Авив назвал нападение войной",СюжетВойна Израиля с ХАМАС,Мир,Марина Совина
https://lenta.ru/news/2023/10/22/zavershilos-golosovanie-na-vyborah-prezidenta-argentiny/,Завершилось голосование на выборах президента Аргентины,"Фото: Franco Fafasuli / dpa / Global Look Press В Аргентине завершилось голосование на президентских выборах. Об этом сообщает Reuters. Основными претендентами на победу считаются крайне правый политик Хавьер Милей, бывший член правительства Патрисия Буллрич и кандидат от правящей партии «Союз ради родины» Серхио Масса. Для победы в первом туре кандидату надо набрать 45 процентов голосов, но при этом опередить ближайшего преследователя на 10 процентов. Ожидается, что окончательные результаты будут объявлены вечером в воскресенье по местному времени (в Москве будет ранее утро). Как отмечает Reuters, наиболее вероятен вариант, при котором ни один из претендентов не наберет нужного количества голосов и будет объявлен второй тур. Скорее всего, в него пройдут Милей и Масса. Агентство пишет, что возвышение малоизвестного еще некоторое время назад Милея стало следствием сложной экономической ситуации в стране. Милея отличает крайний популизм, неприятие феминизма и абортов, он выступает с антикитайских позиций.",,Мир,Марина Совина
https://lenta.ru/news/2023/10/23/tsahal-udaril-po-mecheti-i-zhilym-domam-v-sektore-gaza/,ЦАХАЛ ударил по мечети и жилым домам в Газе,"Фот: РИА Новости В результате обстрела Военно-воздушными силами Израиля (ВВС) двух жилых домов и мечети на севере сектора Газа погибли 13 человек. Об этом сообщает палестинское информагентство WAFA. Отмечается, что израильские военные самолеты совершили несколько налетов на два дома в районе Аль-Тернис и мечеть аль-Альбани в лагере Джабалия на севере Газы. Ранее в Пентагоне рассказали о трудностях для израильской армии в секторе Газа. По словам министра обороны США Ллойда Остина, проведение наземной операции ЦАХАЛ и в секторе Газа затрудняет использование палестинской группировкой ХАМАС подземных туннелей. Министр обороны Израиля Йоав Галант заявил, что операция ЦАХАЛ в секторе Газа может занять до трех месяцев. Он указал, что «это должен быть последний маневр», который приведет к уничтожению ХАМАС.",СюжетВойна Израиля с ХАМАС,Мир,Екатерина Подвигина
https://lenta.ru/news/2023/10/23/obstrel_dnr/,Украинские военные 24 раза за сутки обстреляли территорию ДНР,"Фото: Stringer / Reuters Вооруженные силы Украины (ВСУ) за прошедшие сутки 24 раза обстреляли территорию Донецкой Народной Республики (ДНР). Об этом сообщается в Telegram-канале представительства республики в Совместном центре по контролю и координации вопросов, связанных с военными преступлениями Украины (СЦКК). Уточняется, что в общей сложности украинские военные выпустили 90 единиц различных боеприпасов. «Под вражеским огнем оказались районы двух населенных пунктов Республики: Горловка (Никитовский район), столица г. Донецк (Киевский, Куйбышевский, Кировский, Петровский районы)», — говорится в сообщении. По данным представительства, на донецком направлении было совершено десять обстрелов, на горловском — 14. Ранее ВСУ в ночь на субботу, 21 октября, обстреляли Донецк, Макееву и Ясиноватский район. Отмечалось, что противник выпустил 12 снарядов «натовского» калибра 155 миллиметров за десять минут.",,Бывший СССР,Марина Совина
https://lenta.ru/news/2023/10/23/ultimatum/,Израиль потребовал от ООН проверять грузы для Газы,"Фото: Ibraheem Abu Mustafa / Reuters Организация Объединенных Наций (ООН) должна проверять на оружие грузы, которые проходят через КПП «Рафах» из Египта в сектор Газа. Такое заявление сделал посол Израиля в России Александр Бен Цви, пишет ТАСС. По его словам, Тель-Авив не хочет, чтобы поставки предназначались боевикам. «Единственное наше требование, которое было к ООН - это то, чтобы эти грузы, которые входят туда, проверялись. <...> И чтобы это предназначалось действительно гражданскому населению, а не каким-то военным и террористическим группировкам, которые используют их в своих целях», — сказал Бен Цви. Дипломат подчеркнул, что Израиль не располагает точной информацией о том, соответствовали ли уже пропущенные грузы всем требованиям. В то же время он добавил, что «вроде как, все было нормально». О том, что в сектор Газа из Египта въехала вторая колонна грузовиков с гуманитарной помощью, сообщалось ранее 22 октября. Перед въездом они были проверены с египетской стороны. Первая колонна с гуманитарной помощью из 20 грузовиков въехала в Газу 21 октября, после чего Египет вновь закрыл КПП «Рафах». Президент Египта Абдель Фаттах ас-Сиси объяснил это бомбардировками Израиля.",,Мир,Марина Совина
https://lenta.ru/news/2023/10/23/israel_bolivia/,В Боливии предложили объявить Израиль террористическим государством,"Эво Моралес. Фото: Paula Acunzo / Globallookpress.com Правительство Боливии должно объявить Израиль террористическим государством и разорвать с ним отношения. С таким предложением выступил бывший боливийский президент и глава левой партии «Движение к социализму» Эво Моралес в соцсети X (бывшая Twitter). Кроме того, по его словам, власти страны должны «четко и решительно» осудить геноцид палестинских граждан. «Геноцид в Палестине допустить нельзя. Израиль должен быть объявлен террористическим государством», — считает политик. Он отметил, что отношения между Боливией и Израилем были разорваны в 2005 году, однако затем были восстановлены. «После государственного переворота в ноябре 2019 года, поддержанного США, [временный президент Жанин] Аньес, подчиняясь приказам империи, восстановила отношения с Израилем», — написал Моралес. Утром 7 октября палестинская группировка ХАМАС атаковала Израиль. Тель-Авив назвал нападение войной и 10 октября начал наносить в ответ широкомасштабные удары по объектам боевиков ХАМАС в секторе Газа.",СюжетВойна Израиля с ХАМАС,Мир,Марина Совина
